compoundName	iupacName	cas	kegg	hmdb	pubchem	chebi	foodb	lipidmaps	molecularFormula	molecularWeight	afc_id	original_smiles	inchikey	Canonical_Smiles	contains_sugars	contains_ring_sugars	contains_linear_sugars	number_of_carbons	number_of_nitrogens	number_of_oxygens	number_of_rings	max_number_of_rings	min_number_of_rings	sugar_free_heavy_atom_number	sugar_free_total_atom_number	total_atom_number	bond_count	murko_framework	ertlFunctionalFragments	ertlFunctionalFragmentsPseudoSmiles	alogp	alogp2	amralogp	apol	bpol	eccentricConnectivityIndexDescriptor	fmfDescriptor	fsp3	fragmentComplexityDescriptor	numberSpiroAtoms	lipinskiRuleOf5Failures	xlogp	zagrebIndex	topoPSA	tpsaEfficiency
"1-chloro-2,4-dinitrobenzene"		97-00-7	C14397		6	34718	FDB030243		C6H3ClN2O4	202.55220134473893	AFC000001	C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl	VYZAHLCBVHPDDF-UHFFFAOYSA-N	C1([H])=C(C([H])=C(C(=C1[H])Cl)[N+](=O)[O-])[N+](=O)[O-]	0	false	false	6	2	4	null	1	1	null	null	null	13	c1ccccc1	{*Cl=1, *[N](=O)O[H]=2}	{RCl=1, R[N](=O)O[H]=2}	1.2565	1.5787922499999998	48.1092	20.148378999999995	6.211620999999999	123	0.375	0.0	100.07	0	0	1.827	62.0	86.28	0.4271749529612112
"2,3-dihydroxy-3-methylvalerate"		562-43-6	C04104	HMDB0012140	8	882	FDB030296	LMFA01050469	C6H12O4	148.15732413691495	AFC000002	CCC(C)(C(C(=O)O)O)O	PDGXJDXVGMHUIR-UHFFFAOYSA-N	C([H])([H])([H])C([H])([H])C(C([H])([H])[H])(C([H])(C(=O)O[H])O[H])O[H]	0	false	false	6	0	4	null	0	0	null	null	null	9	null	{*C(=O)O[H]=1, [H]O[C]=2}	{RC(=O)O[H]=1, [H]O[C]=2}	-0.09300000000000083	0.008649000000000155	34.038599999999995	21.769515999999985	14.076483999999995	68	0.0	0.8333333333333334	351.04	0	0	-0.48799999999999993	44.0	77.76	0.5251443984771085
"2,3-dihydroxybenzoic acid"		303-38-8	C00196	HMDB0000397	19	18026	FDB012200		C7H6O4	154.12041551074827	AFC000003	C1=CC(=C(C(=C1)O)O)C(=O)O	GLDQAMYCGOIJDV-UHFFFAOYSA-N	C1([H])=C([H])C(=C(C(=C1[H])C(=O)O[H])O[H])O[H]	0	false	false	7	0	4	null	1	1	null	null	null	11	c1ccccc1	{[H]O[c]=2, *C(=O)O[H]=1}	{[H]O[C*]=2, RC(=O)O[H]=1}	-0.15820000000000023	0.025027240000000072	40.166	19.52875799999999	7.517242	87	0.35294117647058826	0.0	179.04	0	0	0.7769999999999999	52.0	77.76	0.50484783551646
2-aceto-2-hydroxybutanoate		3142-65-2	C00659	HMDB0006900	21	982	FDB024147	LMFA01050501	C6H10O4	146.1414426292634	AFC000004	CCC(C(=O)C)(C(=O)O)O	VUQLHQFKACOHNZ-UHFFFAOYSA-N	C([H])([H])([H])C([H])([H])C(C(=O)C([H])([H])[H])(C(=O)O[H])O[H]	0	false	false	6	0	4	null	0	0	null	null	null	9	null	{*C(*)=O=1, *C(=O)O[H]=1, [H]O[C]=1}	{RC(R)=O=1, RC(=O)O[H]=1, [H]O[C]=1}	-0.2757000000000004	0.07601049000000021	33.114000000000004	20.43592999999999	12.848069999999996	55	0.0	0.6666666666666666	271.04	0	0	-0.15300000000000002	44.0	74.60000000000001	0.5107563199617713
2-dehydropantoate		470-30-4	C00966		38	17094	FDB030332		C6H10O4	146.1414426292634	AFC000005	CC(C)(CO)C(=O)C(=O)O	PKVVTUWHANFMQC-UHFFFAOYSA-N	C([H])([H])([H])C(C([H])([H])[H])(C([H])([H])O[H])C(=O)C(=O)O[H]	0	false	false	6	0	4	null	0	0	null	null	null	9	null	{*C(=O)C(=O)O[H]=1, [H]O[C]=1}	{[H]O[C]=1, RC(=O)C(=O)O[H]=1}	-0.03809999999999962	0.001451609999999971	33.466800000000006	20.43592999999999	12.848069999999996	68	0.0	0.6666666666666666	271.04	0	0	-0.811	44.0	74.6	0.5107563199617712
2-oxoisovalerate		759-05-7	C00141	HMDB0000019	49	16530	FDB012250		C5H8O3	116.11542029725454	AFC000006	CC(C)C(=O)C(=O)O	QHKABHOOEWYVLI-UHFFFAOYSA-N	C([H])([H])([H])C([H])(C([H])([H])[H])C(=O)C(=O)O[H]	0	false	false	5	0	3	null	0	0	null	null	null	7	null	{*C(=O)C(=O)O[H]=1}	{RC(=O)C(=O)O[H]=1}	0.6356999999999998	0.40411448999999977	27.1911	16.540344	10.661655999999997	43	0.0	0.6	169.03	0	0	0.12000000000000004	32.0	54.370000000000005	0.4685156770641143
2-oxoglutaric acid		328-50-7	C00026	HMDB0000208	51	30915	FDB003361		C5H6O5	146.0983486447417	AFC000007	C(CC(=O)O)C(=O)C(=O)O	KPGXRSRHYNQIFN-UHFFFAOYSA-N	C([H])([H])(C([H])([H])C(=O)O[H])C(=O)C(=O)O[H]	0	false	false	5	0	5	null	0	0	null	null	null	9	null	{*C(=O)C(=O)O[H]=1, *C(=O)O[H]=1}	{RC(=O)O[H]=1, RC(=O)C(=O)O[H]=1}	-0.6738	0.45400643999999996	28.883000000000003	16.810757999999996	9.433241999999998	85	0.0	0.4	135.05	0	0	-1.0559999999999998	40.0	91.67	0.6277841645076323
"2,3-diphosphoglycerate"		138-81-8	C03339	HMDB0001294	61	28907	FDB022538		C3H8O10P2	266.03730625666424	AFC000008	C(C(C(=O)O)OP(=O)(O)O)OP(=O)(O)O	XOHUEYCVLUUEJJ-UHFFFAOYSA-N	C([H])([H])(C([H])(C(=O)O[H])OP(=O)(O[H])O[H])OP(=O)(O[H])O[H]	0	false	false	3	0	10	null	0	0	null	null	null	14	null	{*C(=O)O[H]=1, *OP(=O)(O[H])O[H]=2}	{ROP(=O)(O[H])O[H]=2, RC(=O)O[H]=1}	-2.8198000000000003	7.951272040000002	42.7422	25.894343999999982	30.411656	157	0.0	0.6666666666666666	274.12	0	0	-4.181	70.0	190.43999999999997	0.7160494921021473
4-methyl-2-oxopentanoate		816-66-0	C00233	HMDB0000695	70	48430	FDB030510		C6H10O3	130.1420377016941	AFC000009	CC(C)CC(=O)C(=O)O	BKAJNAXTPSGJCU-UHFFFAOYSA-N	C([H])([H])([H])C([H])(C([H])([H])[H])C([H])([H])C(=O)C(=O)O[H]	0	false	false	6	0	3	null	0	0	null	null	null	8	null	{*C(=O)C(=O)O[H]=1}	{RC(=O)C(=O)O[H]=1}	0.8812	0.77651344	31.766199999999998	19.633929999999992	12.848069999999996	63	0.0	0.6666666666666666	252.03	0	0	0.9040000000000002	36.0	54.370000000000005	0.41802820504620186
"3,4-dihydroxybenzoic acid"		99-50-3	C00230	HMDB0001856	72	36062	FDB000847		C7H6O4	154.12041551074827	AFC000010	C1=CC(=C(C=C1C(=O)O)O)O	YQUVCSBJEUQKSH-UHFFFAOYSA-N	C1([H])=C(C([H])=C(C(=C1[H])O[H])O[H])C(=O)O[H]	0	false	false	7	0	4	null	1	1	null	null	null	11	c1ccccc1	{[H]O[c]=2, *C(=O)O[H]=1}	{[H]O[C*]=2, RC(=O)O[H]=1}	-0.15820000000000023	0.025027240000000072	40.166	19.52875799999999	7.517242	99	0.35294117647058826	0.0	179.04	0	0	0.348	52.0	77.76	0.50484783551646
3-cyanopyridine		100-54-9			79	86556			C6H4N2	104.10958481010317	AFC000012	C1=CC(=CN=C1)C#N	GZPHSAQLYPIAIN-UHFFFAOYSA-N	C1([H])=C([H])N=C([H])C(=C1[H])C#N	0	false	false	6	2	0	null	1	1	null	null	null	8	n1ccccc1	{*n(*)*=1, [C]#N=1}	{RN*(R)R=1, [C]#N=1}	0.21949999999999967	0.048180249999999855	32.4084	15.427172	6.352827999999999	60	0.5	0.0	88.02	0	0	-0.3999999999999999	34.0	36.15	0.3474710371165939
