C1([H])=C(C([H])=C(C(=C1[H])Cl)[N+](=O)[O-])[N+](=O)[O-] AFC000001
C([H])([H])([H])C([H])([H])C(C([H])([H])[H])(C([H])(C(=O)O[H])O[H])O[H] AFC000002
C1([H])=C([H])C(=C(C(=C1[H])C(=O)O[H])O[H])O[H] AFC000003
C([H])([H])([H])C([H])([H])C(C(=O)C([H])([H])[H])(C(=O)O[H])O[H] AFC000004
C([H])([H])([H])C(C([H])([H])[H])(C([H])([H])O[H])C(=O)C(=O)O[H] AFC000005
C([H])([H])([H])C([H])(C([H])([H])[H])C(=O)C(=O)O[H] AFC000006
C([H])([H])(C([H])([H])C(=O)O[H])C(=O)C(=O)O[H] AFC000007
C([H])([H])(C([H])(C(=O)O[H])OP(=O)(O[H])O[H])OP(=O)(O[H])O[H] AFC000008
C([H])([H])([H])C([H])(C([H])([H])[H])C([H])([H])C(=O)C(=O)O[H] AFC000009
C1([H])=C(C([H])=C(C(=C1[H])O[H])O[H])C(=O)O[H] AFC000010
C1([H])=C([H])N=C([H])C(=C1[H])C#N AFC000012
C([H])([H])(C(=O)C(=O)O[H])S[H] AFC000013
C([H])([H])([H])C(=C([H])C(=O)SC([H])([H])C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])N([H])C(=O)C([H])(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C1([H])C([H])(C([H])(C([H])(N2C([H])=NC3=C2N=C([H])N=C3N([H])[H])O1)O[H])OP(=O)(O[H])O[H])O[H])C([H])([H])[H] AFC000014
C([H])([H])(C([H])([H])N([H])C(=O)N([H])[H])C(=O)O[H] AFC000015
C([H])([H])(C([H])([H])C(=O)O[H])C([H])([H])N([H])[H] AFC000016
C([H])([H])(C([H])([H])C(=O)N([H])[H])C([H])([H])N=C(N([H])[H])N([H])[H] AFC000017
C1([H])=C(C([H])=C([H])C(=C1[H])O[H])C([H])=O AFC000018
C1([H])=C(C([H])=C([H])C(=C1[H])O[H])C(=O)O[H] AFC000019
C([H])([H])(C([H])([H])C(=O)O[H])C(=O)C([H])([H])N([H])[H] AFC000020
C([H])([H])([H])C([H])(C(=O)C([H])([H])[H])O[H] AFC000024
C1([H])=NC2=NC([H])=NC(=C2N1[H])N([H])[H] AFC000026
C1([H])(C(=O)N([H])C(=O)N1[H])N([H])C(=O)N([H])[H] AFC000027
C([H])([H])(C1([H])C([H])(C([H])(C([H])(C([H])(O[H])O1)O[H])O[H])O[H])OP(=O)(O[H])O[H] AFC000029
C([H])([H])([H])C1=NC(=C(C([H])=N1)C([H])([H])OP(=O)(O[H])O[H])N([H])[H] AFC000030
C([H])([H])([H])C1=NC(=C(C([H])=N1)C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[H])N([H])[H] AFC000031
C1([H])=C([H])C(=C(C([H])=C1[H])N([H])[H])C(=O)O[H] AFC000034
C1([H])([H])C([H])(C([H])(C([H])(C([H])(O[H])O1)O[H])O[H])O[H] AFC000035
C([H])([H])(C([H])([H])N([H])[H])C(=O)O[H] AFC000038
C1([H])=C([H])C([H])=C(C([H])=C1[H])C([H])=O AFC000039
C1([H])=C([H])C([H])=C(C([H])=C1[H])C(=O)[O-] AFC000040
C1([H])=C([H])C([H])=C(C([H])=C1[H])C([H])([H])O[H] AFC000041
C([H])([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])C(=O)[O-] AFC000042
C([H])([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])=O AFC000043
C([H])([H])(C([H])([H])C([H])([H])N([H])[H])C([H])([H])C([H])([H])N([H])[H] AFC000047
C(=O)(N([H])[H])OP(=O)(O[H])O[H] AFC000049
C1([H])=C([H])C(=C(C([H])=C1[H])O[H])O[H] AFC000054
C([H])([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])O[H] AFC000055
C([H])([H])(C(=O)O[H])C(C([H])([H])C(=O)O[H])(C(=O)O[H])O[H] AFC000056
C([H])([H])([H])C1=C2C([H])([H])C3=C(C([H])([H])[H])C(=C(C([H])([H])C4=C(C([H])([H])C([H])([H])C(=O)O[H])C(=C(C([H])([H])C5=C(C([H])([H])C([H])([H])C(=O)O[H])C(=C(C([H])([H])C(=C1C([H])([H])C([H])([H])C(=O)O[H])N2[H])N5[H])C([H])([H])[H])N4[H])C([H])([H])[H])N3[H])C([H])([H])C([H])([H])C(=O)O[H] AFC000058
C1([H])=C([H])C2=C(C([H])=C1[H])OC(=O)C([H])=C2[H] AFC000059
C1([H])=C(C(=C(C([H])=C1C(=O)O[H])O[H])O[H])O[H] AFC000060
C([H])([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[H] AFC000061
C([H])([H])(C([H])([H])C([H])(C(=O)O[H])N([H])[H])C([H])([H])N([H])[H] AFC000062
C1([H])=C([H])C2=C(C([H])=C1[H])N([H])C([H])=C2C([H])([H])C(=O)N([H])[H] AFC000063
C([H])([H])(C([H])([H])C([H])([H])C(=O)O[H])C([H])([H])C([H])(C([H])([H])C([H])([H])S[H])S[H] AFC000065
C([H])([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])=O AFC000067
C1([H])=C([H])C([H])=C(C([H])=C1[H])C(=O)N([H])C([H])([H])C(=O)O[H] AFC000068
C([H])([H])(C([H])([H])C([H])(C(=O)O[H])N([H])[H])C([H])([H])C(=O)O[H] AFC000069
C([H])([H])([H])SC([H])([H])C([H])([H])C(=O)C(=O)O[H] AFC000070
C([H])([H])([H])C(=O)N([H])C([H])([H])C([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H] AFC000071
C([H])([H])(C([H])([H])C(=O)O[H])C([H])([H])N=C(N([H])[H])N([H])[H] AFC000072
C([H])([H])(C([H])([H])C([H])([H])N([H])C(=O)N([H])[H])C([H])([H])N([H])[H] AFC000073
C([H])([H])(C([H])(C(=O)O[H])O[H])C(=O)O[H] AFC000074
C([H])([H])(C(=O)O[H])OP(=O)(O[H])O[H] AFC000076
C1([H])([H])C([H])([H])C1(C(=O)O[H])N([H])[H] AFC000077
C([H])([H])([H])SC([H])([H])C([H])([H])C(=O)C(=O)C([H])([H])OP(=O)(O[H])O[H] AFC000078
C1([H])=C(N([H])[H])N([H])C(=O)N=C1[H] AFC000080
C([H])([H])([H])C1([H])C([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[H])N([H])C(=O)N1[H] AFC000084
C([H])([H])([H])C(=C([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[H])C([H])([H])[H] AFC000085
C1([H])([H])C([H])([H])N([H])C(=O)N([H])C1=O AFC000086
C([H])([H])([H])C(=O)C(=O)C([H])([H])[H] AFC000087
C([H])([H])([H])C([H])([H])OP(=O)(O[H])OC([H])([H])C([H])([H])[H] AFC000088
C([H])([H])(C([H])([H])C([H])([H])C(=O)N([H])[H])C([H])([H])C([H])(C([H])([H])C([H])([H])S[H])S[H] AFC000089
C([H])([H])(C(=O)C([H])([H])OP(=O)(O[H])O[H])O[H] AFC000090
C1([H])=C([H])C2=C(C([H])=C(C(=C2C([H])=C1[H])O[H])C(=O)O[H])O[H] AFC000091
C1([H])=C(C([H])([H])C([H])([H])N([H])[H])C([H])=C(C(=C1[H])O[H])O[H] AFC000092
C([H])([H])(C([H])(C([H])([H])O[H])O[H])O[H] AFC000098
C([H])([H])(C([H])(C([H])([H])O[H])N([H])[H])C1=C([H])N=C([H])N1[H] AFC000104
C([H])([H])([H])C1=NC(=C(C([H])=N1)C([H])([H])O[H])N([H])[H] AFC000105
C1([H])=C(C([H])=C(C([H])([H])C(=O)O[H])C(=C1[H])O[H])O[H] AFC000106
C([H])([H])(C([H])([H])C(=O)O[H])C1=C([H])N([H])C(=C1C([H])([H])C(=O)O[H])C([H])([H])C2=C(C([H])([H])C([H])([H])C(=O)O[H])C(=C(C([H])([H])C3=C(C([H])([H])C([H])([H])C(=O)O[H])C(=C(C([H])([H])C4=C(C([H])([H])C([H])([H])C(=O)O[H])C(=C(C([H])([H])O[H])N4[H])C([H])([H])C(=O)O[H])N3[H])C([H])([H])C(=O)O[H])N2[H])C([H])([H])C(=O)O[H] AFC000109
C([H])([H])(C1=C([H])N=C([H])N1[H])C(=O)C([H])([H])OP(=O)(O[H])O[H] AFC000111
C([H])([H])(C(=N[H])C(=O)O[H])C(=O)O[H] AFC000112
C1([H])=C([H])C2=C(C([H])=C1[H])N([H])C([H])=C2[H] AFC000113
C1([H])=C([H])C2=C(C([H])=C1[H])N([H])C([H])=C2C([H])([H])C([H])=O AFC000114
C1([H])=C([H])C2=C(C([H])=C1[H])N([H])C([H])=C2C([H])([H])C(=O)O[H] AFC000115
C1([H])=C([H])C2=C(C([H])=C1[H])N([H])C([H])=C2C([H])([H])C(=O)C(=O)O[H] AFC000116
C([H])([H])(C([H])(C(=O)O[H])N([H])[H])C(=O)OP(=O)(O[H])O[H] AFC000117
C([H])([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])(C(=O)O[H])N([H])[H] AFC000118
C([H])([H])(C([H])([H])C([H])([H])C(=O)N([H])[H])C([H])([H])C1([H])C([H])([H])C([H])([H])SS1 AFC000119
C([H])([H])(C([H])=O)C(=O)O[H] AFC000121
C([H])(C([H])(C(=O)O[H])O[H])(C(=O)O[H])O[H] AFC000122
C([H])([H])([H])SC([H])([H])C([H])([H])C([H])(C(=O)O[H])N([H])[H] AFC000123
C1([H])(C([H])(C([H])(C([H])(C([H])(C1([H])O[H])O[H])O[H])O[H])O[H])O[H] AFC000128
C([H])([H])([H])C(=O)N([H])C([H])([H])C([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H] AFC000129
C1([H])=C(C([H])=C([H])C(=C1[H])O[H])C2([H])C([H])([H])C(=O)C3=C(C([H])=C(C([H])=C3O[H])O[H])O2 AFC000131
C1([H])=C([H])N=C([H])C(=C1[H])C(=O)N([H])[H] AFC000132
C1([H])=C([H])N=C([H])C(=C1[H])C(=O)[O-] AFC000133
C1([H])=C([H])N=C([H])C(=C1[H])C(=O)O[H] AFC000134
C([H])([H])([H])N(C([H])([H])[H])C1=C([H])C([H])=C([H])C([H])=C1[H] AFC000139
C([H])([H])([H])[N+](C([H])([H])[H])(C1=C([H])C([H])=C([H])C([H])=C1[H])[O-] AFC000140
C1([H])=C([H])C(=C(C([H])=C1[H])C(=O)O[H])C(=O)C([H])([H])C([H])([H])C(=O)O[H] AFC000141
C([H])([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])O[H] AFC000142
C([H])([H])(C(=O)C(=O)O[H])O[H] AFC000145
C([H])([H])(C(=O)C(=O)O[H])C(=O)O[H] AFC000146
C(=O)(C(=O)O[H])O[H] AFC000147
C([H])([H])(C([H])(C(=O)C(=O)O[H])C(=O)O[H])C(=O)O[H] AFC000148
C1([H])=C(C([H])=C([H])C(=C1[H])O[H])C([H])([H])C(=O)C(=O)O[H] AFC000150
