afc_id	class	pathway	superclass
AFC001833	Amino acids and Peptides
AFC001834	Simple phenolic acids	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)
AFC001835	Gibberellins	Terpenoids	Diterpenoids
AFC001836	Simple indole alkaloids	Alkaloids	Tryptophan alkaloids
AFC001837	Simple phenolic acids	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)
AFC001838	Simple phenolic acids	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)
AFC001839	Piperidine alkaloids	Alkaloids	Lysine alkaloids
AFC001840	Amino fatty acids;Aminoacids	Amino acids and Peptides;Fatty acids	Fatty Acids and Conjugates;Small peptides
AFC001841	Aminoacids	Amino acids and Peptides	Small peptides
AFC001842
AFC001843	Simple amide alkaloids	Alkaloids	Peptide alkaloids
AFC001844	Pyridine alkaloids	Alkaloids	Nicotinic acid alkaloids
AFC001845	Alkaloids
AFC001846	Aminoacids	Amino acids and Peptides	Small peptides
AFC001847	Alkaloids
AFC001849	Shikimic acids and derivatives	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)
AFC001850	Simple indole alkaloids	Alkaloids	Tryptophan alkaloids
AFC001851	Aminoacids	Amino acids and Peptides	Small peptides
AFC001852	Aminoacids	Amino acids and Peptides	Small peptides
AFC001853	Cinnamic acids and derivatives;Simple phenolic acids	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1);Phenylpropanoids (C6-C3)
AFC001854	Imidazole alkaloids	Alkaloids	Histidine alkaloids
AFC001855	Simple coumarins	Shikimates and Phenylpropanoids	Coumarins
AFC001856	Simple indole alkaloids	Alkaloids	Tryptophan alkaloids
AFC001858	Cinnamic acids and derivatives	Shikimates and Phenylpropanoids	Phenylpropanoids (C6-C3)
AFC001859	Purine alkaloids	Alkaloids	Pseudoalkaloids
AFC001861	Dipeptides	Amino acids and Peptides	Small peptides
AFC001862	Simple indole alkaloids	Alkaloids	Tryptophan alkaloids
