compoundName	iupacName	cas	kegg	hmdb	pubchem	chebi	foodb	lipidmaps	molecularFormula	molecularWeight	afc_id	original_smiles	inchikey	Canonical_Smiles	contains_sugars	contains_ring_sugars	contains_linear_sugars	number_of_carbons	number_of_nitrogens	number_of_oxygens	number_of_rings	max_number_of_rings	min_number_of_rings	sugar_free_heavy_atom_number	sugar_free_total_atom_number	total_atom_number	bond_count	murko_framework	ertlFunctionalFragments	ertlFunctionalFragmentsPseudoSmiles	alogp	alogp2	amralogp	apol	bpol	eccentricConnectivityIndexDescriptor	fmfDescriptor	fsp3	fragmentComplexityDescriptor	numberSpiroAtoms	lipinskiRuleOf5Failures	xlogp	zagrebIndex	topoPSA	tpsaEfficiency
"(2R,3aS,3bS,8S,9aR,9bR,11aR)-1-[(2R)-2,6-dihydroxy-6-methyl-3-oxoheptan-2-yl]-2-hydroxy-3a,6,6,9b,11a-pentamethyl-8-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-1H,2H,3H,3bH,4H,8H,9H,9aH,11H-cyclopenta[a]phenanthrene-7,10-dione"									C36H56O12	680.824033629444	AFC001789	CC(C)(O)CCC(=O)[C@](C)(O)C1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C[C@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C	NWOBCRRKTPFKMK-UHFFFAOYSA-N	C([H])([H])([H])C(C([H])([H])[H])(C([H])([H])C([H])([H])C(=O)[C@@](C([H])([H])[H])(C1([H])[C@@]([H])(C([H])([H])[C@@]2(C([H])([H])[H])[C@]3([H])C([H])([H])C([H])=C4[C@@]([H])(C([H])([H])[C@@]([H])(C(=O)C4(C([H])([H])[H])C([H])([H])[H])O[C@@]5([H])[C@@]([H])([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O5)O[H])O[H])O[H])[C@]3(C([H])([H])[H])C(=O)C([H])([H])[C@]12C([H])([H])[H])O[H])O[H])O[H]	0	FALSE	FALSE	36	0	12	null	11	5	null	null	null	52	O1CCCCC1OC2CCC3=CCC4C(CCC5CCCC54)C3C2	"{[C]=[C]=1, *C(*)=O=3, [H]O[C]=7, *O[C]O*=1}"	"{[C]=[C]=1, RO[C]OR=1, RC(R)=O=3, [H]O[C]=7}"	-0.23810000000000300	0.05669161000000160	173.4379	110.32440800000000	67.925592	1450	0.23076923076923100	0.8611111111111110	9408.12	0	3	0.6029999999999990	280.0	211.28000000000000	0.31053363791471800
cucurbitacin J	cucurbitacin J	5979-41-9	C08801	no entry found	441819	3948	no entry found	LMST01010111	C30H44O8	532.6667094925290	AFC001790	CC1(C)C(=O)C(O)=C[C@@H]2C1=CC[C@H]1[C@]3(C)C[C@@H](O)[C@H]([C@@](C)(O)C(=O)C[C@@H](O)C(C)(C)O)[C@@]3(C)CC(=O)[C@]12C	FBGLZDYMEULGSX-UHFFFAOYSA-N	C([H])([H])([H])C1(C([H])([H])[H])C2=C([H])C([H])([H])[C@@]3([H])[C@]4(C([H])([H])[H])C([H])([H])[C@]([H])([C@@]([H])([C@@]4(C([H])([H])[H])C([H])([H])C(=O)[C@@]3(C([H])([H])[H])[C@]2([H])C([H])=C(C1=O)O[H])[C@](C([H])([H])[H])(C(=O)C([H])([H])[C@]([H])(C(C([H])([H])[H])(C([H])([H])[H])O[H])O[H])O[H])O[H]	0	FALSE	FALSE	30	0	8	null	10	4	null	null	null	41	C1=CC2C(=CCC3C2CCC4CCCC43)CC1	"{[C]=[C]=1, *C(*)=O=2, [H]O[C]=4, *C(=O)C(=[C])O[H]=1}"	"{[C]=[C]=1, RC(R)=O=2, RC(=O)C(=[C])O[H]=1, [H]O[C]=4}"	0.7710999999999960	0.5945952099999940	143.4395	88.55489199999990	50.97510800000000	903	0.2073170731707320	0.7666666666666670	5819.08	0	1	1.7890000000000000	226.0	152.36000000000000	0.28622762412760400
cucurbitacin J	cucurbitacin K	6766-43-4	no entry found	no entry found	270061	no entry found	FDB006199	no entry found	C30H44O8	532.6667094925290	AFC001791	CC1(C)C(=O)C(O)=C[C@@H]2C1=CC[C@H]1[C@]3(C)C[C@@H](O)[C@H]([C@@](C)(O)C(=O)CC(O)C(C)(C)O)[C@@]3(C)CC(=O)[C@]12C	FBGLZDYMEULGSX-UHFFFAOYSA-N	C([H])([H])([H])C1(C([H])([H])[H])C2=C([H])C([H])([H])[C@@]3([H])[C@]4(C([H])([H])[H])C([H])([H])[C@]([H])([C@@]([H])([C@@]4(C([H])([H])[H])C([H])([H])C(=O)[C@@]3(C([H])([H])[H])[C@]2([H])C([H])=C(C1=O)O[H])[C@](C([H])([H])[H])(C(=O)C([H])([H])C([H])(C(C([H])([H])[H])(C([H])([H])[H])O[H])O[H])O[H])O[H]	0	FALSE	FALSE	30	0	8	null	10	4	null	null	null	41	C1=CC2C(=CCC3C2CCC4CCCC43)CC1	"{[C]=[C]=1, *C(*)=O=2, [H]O[C]=4, *C(=O)C(=[C])O[H]=1}"	"{[C]=[C]=1, RC(R)=O=2, RC(=O)C(=[C])O[H]=1, [H]O[C]=4}"	0.7710999999999960	0.5945952099999940	143.4395	88.55489199999990	50.97510800000000	903	0.2073170731707320	0.7666666666666670	5819.08	0	1	1.7890000000000000	226.0	152.36000000000000	0.28622762412760400
(2S)-2-amino-3-(6-benzyl-2-imino-1H-purin-9-yl)propanoic acid									C15H16N6O2	312.3271196103870	AFC001792	N=c1nc2c(ncn2C[C@H](N)C(=O)O)c(Cc2ccccc2)[nH]1	AAAXGCLPRZBHJL-UHFFFAOYSA-N	C1([H])=C([H])C([H])=C(C([H])=C1[H])C([H])([H])C2=C3C(=NC(=N[H])N2[H])N(C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H])C([H])=N3	0	FALSE	FALSE	15	6	2	null	4	3	null	null	null	25	n1c[nH]c2=NCNC(=c12)Cc3ccccc3	"{[H]N=[c]=1, *C(=O)O[H]=1, *n(*)*=4, [H]N([H])[C]=1}"	"{[H]N=[C*]=1, RN*(R)R=4, RC(=O)O[H]=1, [H]N([H])[C]=1}"	-0.6015000000000010	0.3618022500000010	89.5651	45.27268800000000	23.069312000000000	442	0.41025641025641000	0.2	1175.08	0	0	-1.404	120.0	127.16000000000000	0.4073898210002060
(2S)-2-amino-3-(6-benzyl-2-imino-1H-purin-9-yl)propanoic acid									C15H16N6O2	312.3271196103870	AFC001793	N=c1nc2c(ncn2C[C@H](N)C(=O)O)c(Cc2ccccc2)[nH]1	AAAXGCLPRZBHJL-UHFFFAOYSA-N	C1([H])=C([H])C([H])=C(C([H])=C1[H])C([H])([H])C2=C3C(=NC(=N[H])N2[H])N(C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H])C([H])=N3	0	FALSE	FALSE	15	6	2	null	4	3	null	null	null	25	n1c[nH]c2=NCNC(=c12)Cc3ccccc3	"{[H]N=[c]=1, *C(=O)O[H]=1, *n(*)*=4, [H]N([H])[C]=1}"	"{[H]N=[C*]=1, RN*(R)R=4, RC(=O)O[H]=1, [H]N([H])[C]=1}"	-0.6015000000000010	0.3618022500000010	89.5651	45.27268800000000	23.069312000000000	442	0.41025641025641000	0.2	1175.08	0	0	-1.404	120.0	127.16000000000000	0.4073898210002060
"(2S,3R)-2,3-bis[(4-hydroxy-3-methoxyphenyl)(¹³C)methyl](1-¹³C)butane-1,4-diol"					AFC000436 and AFC001034				C20H26O6	365.3954639302830	AFC001794	COc1cc([13CH2][C@@H]([13CH2]O)[C@H](CO)[13CH2]c2ccc(O)c(OC)c2)ccc1O	PUETUDUXMCLALY-QFWKDIPCSA-N	C([H])([H])([H])OC1=C([H])C(=C([H])C([H])=C1O[H])[13C]([H])([H])[C@@]([H])([13C]([H])([H])O[H])[C@@]([H])([13C]([H])([H])C2=C([H])C([H])=C(C(=C2[H])OC([H])([H])[H])O[H])C([H])([H])O[H]	0	FALSE	FALSE	20	0	6	null	2	2	null	null	null	27	c1ccc(cc1)CCCCc2ccccc2	"{*O*=2, [H]O[c]=2, [H]O[C]=2}"	"{[H]O[C*]=2, ROR=2, [H]O[C]=2}"	0.3042000000000030	0.09253764000000190	107.17360000000000	57.34861800000000	32.255382	540	0.3076923076923080	0.4	2159.06	0	0	0.5400000000000000	126.0	99.38000000000000	0.27439929774248200
"(2S,3R)-2,3-bis[(4-hydroxy-3-methoxyphenyl)(¹³C)methyl](1-¹³C)butane-1,4-diol"					AFC000436 and AFC001034				C20H26O6	365.3954639302830	AFC001795	COc1cc([13CH2][C@@H]([13CH2]O)[C@H](CO)[13CH2]c2ccc(O)c(OC)c2)ccc1O	PUETUDUXMCLALY-QFWKDIPCSA-N	C([H])([H])([H])OC1=C([H])C(=C([H])C([H])=C1O[H])[13C]([H])([H])[C@@]([H])([13C]([H])([H])O[H])[C@@]([H])([13C]([H])([H])C2=C([H])C([H])=C(C(=C2[H])OC([H])([H])[H])O[H])C([H])([H])O[H]	0	FALSE	FALSE	20	0	6	null	2	2	null	null	null	27	c1ccc(cc1)CCCCc2ccccc2	"{*O*=2, [H]O[c]=2, [H]O[C]=2}"	"{[H]O[C*]=2, ROR=2, [H]O[C]=2}"	0.3042000000000030	0.09253764000000190	107.17360000000000	57.34861800000000	32.255382	540	0.3076923076923080	0.4	2159.06	0	0	0.5400000000000000	126.0	99.38000000000000	0.27439929774248200
3-hydroxy-1-(4-hydroxy-3-methoxyphenyl)propan-1-one	beta-hydroxypropiovanillone	2196-18-1	no entry found	no entry found	75142	no entry found	no entry found	no entry found	C10H12O4	196.20026772406700	AFC001796	COc1cc(C(=O)CCO)ccc1O	NXCPMSUBVRGTSE-UHFFFAOYSA-N	C([H])([H])([H])OC1=C([H])C(=C([H])C([H])=C1O[H])C(=O)C([H])([H])C([H])([H])O[H]	0	FALSE	FALSE	10	0	4	null	1	1	null	null	null	14	c1ccccc1	"{*C(*)=O=1, *O*=1, [H]O[c]=1, [H]O[C]=1}"	"{[H]O[C*]=1, ROR=1, RC(R)=O=1, [H]O[C]=1}"	-0.5316000000000000	0.28259856000000000	55.156700000000000	28.809516000000000	15.992484000000000	168	0.23076923076923100	0.3	494.04	0	0	-0.37700000000000000	64.0	66.76	0.3404844609685790
3-hydroxy-1-(4-hydroxyphenyl)propan-1-one	"3,4'-dihydroxypropiophenone"	53170-93-7	no entry found	HMDB0040645	638759	no entry found	FDB020438	no entry found	C9H10O3	166.174245392058	AFC001797	O=C(CCO)c1ccc(O)cc1	LTEPZFZSPZASKJ-UHFFFAOYSA-N	C1([H])=C(C([H])=C([H])C(=C1[H])O[H])C(=O)C([H])([H])C([H])([H])O[H]	0	FALSE	FALSE	9	0	3	null	1	1	null	null	null	12	c1ccccc1	"{*C(*)=O=1, [H]O[c]=1, [H]O[C]=1}"	"{[H]O[C*]=1, RC(R)=O=1, [H]O[C]=1}"	-0.03300000000000080	0.0010890000000000500	48.513200000000000	24.913930000000000	11.890070000000000	140	0.2727272727272730	0.2222222222222220	352.03	0	0	-0.34900000000000000	54.0	57.53	0.34643479893926100
"(2R,3R,4S,5R,6S)-2-(hydroxymethyl)-6-[4-(hydroxymethyl)phenoxy]oxane-3,4,5-triol"	"2-(hydroxymethyl)-6-[4-(hydroxymethyl)phenoxy]oxane-3,4,5-triol"		no entry found	no entry found	3645183	no entry found	no entry found	no entry found	C13H18O7	286.2783347200940	AFC001798	OCc1ccc(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)cc1	PUQSUZTXKPLAPR-UHFFFAOYSA-N	C1([H])=C(C([H])=C([H])C(=C1[H])O[C@@]2([H])[C@@]([H])([C@]([H])([C@]([H])([C@@]([H])(C([H])([H])O[H])O2)O[H])O[H])O[H])C([H])([H])O[H]	0	FALSE	FALSE	13	0	7	null	2	2	null	null	null	21	O(c1ccccc1)C2OCCCC2	"{[H]O[C]=5, *O[C]O*=1}"	"{RO[C]OR=1, [H]O[C]=5}"	-1.8949000000000000	3.5906460100000100	71.31810000000000	40.49627400000000	23.509726	354	0.34210526315789500	0.5384615384615380	1141.07	0	0	-1.4270000000000000	100.0	119.61000000000000	0.41806292887295300
