Compound	IUPAC	Alternative_names	CAS_ID	KEGG_ID	HMDB	PubChem	ChEBI_ID	FooDB	LipidMaps	Molecular_formula	Molecular_weight	Source_databases	AFC_ID	canonical_SMILES
Lycopene	psi,psi-Carotene	all-trans-lycopene	502-65-8	C05432	HMDB0003000	446925	15948	FDB014534	LMPR01070257			PMID_31263475		CC(C)=CCC\C(C)=C\C=C\C(C)=C\C=C\C(C)=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C=C(/C)CCC=C(C)C
1-chloro-2,4-dinitrobenzene			97-00-7	C14397	no entry found	6	34718	FDB030243	no entry found			CuCyc	AFC000001	C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl
2,3-dihydroxy-3-methylvalerate			562-43-6	C04104	HMDB0012140	8	882	FDB030296	LMFA01050469			CuCyc	AFC000002	CCC(C)(C(C(=O)O)O)O
2,3-dihydroxybenzoic acid			303-38-8	C00196	HMDB0000397	19	18026	FDB012200	no entry found			PMID_32538082	AFC000003	C1=CC(=C(C(=C1)O)O)C(=O)O
2-aceto-2-hydroxybutanoate			3142-65-2	C00659	HMDB0006900	21	982	FDB024147	LMFA01050501			CuCyc	AFC000004	CCC(C(=O)C)(C(=O)O)O
2-dehydropantoate			470-30-4	C00966	no entry found	38	17094	FDB030332	no entry found			CuCyc	AFC000005	CC(C)(CO)C(=O)C(=O)O
2-oxoisovalerate		3-methyl-2-oxobutanoic acid	759-05-7	C00141	HMDB0000019	49	16530	FDB012250	no entry found			CuCyc	AFC000006	CC(C)C(=O)C(=O)O
2-oxoglutaric acid		"2-oxoglutarate;alpha-ketoglutaric acid"	328-50-7	C00026	HMDB0000208	51	30915	FDB003361	no entry found			"CuCyc;PMID_30451416;PMID_31934503"	AFC000007	C(CC(=O)O)C(=O)C(=O)O
2,3-diphosphoglycerate			138-81-8	C03339	HMDB0001294	61	28907	FDB022538	no entry found			CuCyc	AFC000008	C(C(C(=O)O)OP(=O)(O)O)OP(=O)(O)O
4-methyl-2-oxopentanoate			816-66-0	C00233	HMDB0000695	70	48430	FDB030510	no entry found			CuCyc	AFC000009	CC(C)CC(=O)C(=O)O
3,4-dihydroxybenzoic acid			99-50-3	C00230	HMDB0001856	72	36062	FDB000847	no entry found			PMID_32538082	AFC000010	C1=CC(=C(C=C1C(=O)O)O)O
3-aminopropanal			352-92-1	C05665	HMDB0001106	75	18090	FDB030407	no entry found			CuCyc	AFC000011	C(CN)C=O
3-cyanopyridine			100-54-9	no entry found	no entry found	79	86556	no entry found	no entry found			CuCyc	AFC000012	C1=CC(=CN=C1)C#N
3-mercaptopyruvate			2464-23-5	C00957	HMDB0001368	98	16208	FDB030434	no entry found			CuCyc	AFC000013	C(C(=O)C(=O)O)S
3-methylcrotonyl-CoA				C03069	HMDB0001493	99	15486	FDB022652	no entry found			CuCyc	AFC000014	CC(=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)C
3-ureidopropionate			462-88-4	C02642	HMDB0000026	111	18261	FDB030466	no entry found			CuCyc	AFC000015	C(CNC(=O)N)C(=O)O
4-aminobutyrate		"GABA;gamma-aminobutyric acid"	56-12-2	C00334	HMDB0000112	119	16865	FDB008937	no entry found			"CuCyc;PMID_18588311;PMID_30451416;PMID_32679913"	AFC000016	C(CC(=O)O)CN
4-guanidinobutyramide		tiformin	4210-97-3	no entry found	no entry found	123	18062	no entry found	no entry found			CuCyc	AFC000017	C(CC(=O)N)CN=C(N)N
4-hydroxybenzaldehyde			123-08-0	C00633	HMDB0011718	126	17597	FDB010504	no entry found			PMID_32538082	AFC000018	C1=CC(=CC=C1C=O)O
4-hydroxybenzoic acid			99-96-7	C00156	HMDB0000500	135	30763	FDB010508	no entry found			"PMID_31934503;Fadimu et al. 2020"	AFC000019	C1=CC(=CC=C1C(=O)O)O
5-amino-levulinate			106-60-5	C00430	HMDB0001149	137	17549	FDB022452	no entry found			CuCyc	AFC000020	C(CC(=O)O)C(=O)CN
acetate			71-50-1	C00033	HMDB0000042	175	30089	FDB030644	LMFA01010002			"CuCyc;PMID_27130118;PMID_30451416;PMID_32679913"	AFC000021	CC(=O)[O-]
acetic acid			64-19-7	C00033	HMDB0000042	176	15366	FDB019725	LMFA01010002			"PMID_32679913;Guler et al. 2014;Kim et al 2009"	AFC000022	CC(=O)O
acetaldehyde			75-07-0	C00084	HMDB0000990	177	15343	FDB008297	no entry found			"CuCyc;PMID_17002453;PMID_31263475;Guler et al. 2014;Kim et al 2009"	AFC000023	CC=O
acetoin		3-hydroxy-2-butanone	51555-24-9	C00466	HMDB0003243	179	15688	FDB011799	no entry found			"PMID_21384347;Kim et al 2009"	AFC000024	CC(C(=O)C)O
acetone		2-propanone	67-64-1	C00207	HMDB0001659	180	15347	FDB008301	no entry found			Guler et al. 2014	AFC000025	CC(=O)C
adenine			73-24-5	C00147	HMDB0000034	190	16708	FDB012266	no entry found			CuCyc	AFC000026	C1=NC2=NC=NC(=C2N1)N
allantoin			97-59-6	C01551	HMDB0000462	204	15676	FDB001613	no entry found			"phytochem.nal.usda;PMID_32431723"	AFC000027	C1(C(=O)NC(=O)N1)NC(=O)N
threonine			144-98-9	no entry found	no entry found	205	38263	FDB011999	no entry found			"FoodData_Central;phytochem.nal.usda;PMID_27130118;PMID_28049426;PMID_30451416;PMID_32679913"	AFC000028	CC(C(C(=O)O)N)O
6-O-phosphonohexopyranose		D-hexose 6-phosphate	3672-15-9	C02965	HMDB0001401	208	61667	FDB021818	no entry found			CuCyc	AFC000029	C(C1C(C(C(C(O1)O)O)O)O)OP(=O)(O)O
4-amino-2-methyl-5-phosphomethylpyrimidine				C04556	no entry found	216	18032	FDB030485	no entry found			CuCyc	AFC000030	CC1=NC=C(C(=N1)N)COP(=O)(O)O
4-amino-2-methyl-5-diphosphomethylpyrimidine			841-01-0	C04752	no entry found	217	16629	FDB030484	no entry found			CuCyc	AFC000031	CC1=NC=C(C(=N1)N)COP(=O)(O)OP(=O)(O)O
ammonia			7664-41-7	C00014	HMDB0000051	222	16134	FDB003908	no entry found			CuCyc	AFC000032	N
