compoundName	iupacName	cas	kegg	hmdb	pubchem	chebi	foodb	lipidmaps	afc_id	original_smiles
(2R,3aS,3bS,8S,9aR,9bR,11aR)-1-[(2R)-2,6-dihydroxy-6-methyl-3-oxoheptan-2-yl]-2-hydroxy-3a,6,6,9b,11a-pentamethyl-8-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-1H,2H,3H,3bH,4H,8H,9H,9aH,11H-cyclopenta[a]phenanthrene-7,10-dione									AFC001789	CC(C)(O)CCC(=O)[C@](C)(O)C1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C[C@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C
cucurbitacin J	cucurbitacin J	5979-41-9	C08801	no entry found	441819	3948	no entry found	LMST01010111	AFC001790	CC1(C)C(=O)C(O)=C[C@@H]2C1=CC[C@H]1[C@]3(C)C[C@@H](O)[C@H]([C@@](C)(O)C(=O)C[C@@H](O)C(C)(C)O)[C@@]3(C)CC(=O)[C@]12C
(2S)-2-amino-3-(6-benzyl-2-imino-1H-purin-9-yl)propanoic acid									AFC001792	N=c1nc2c(ncn2C[C@H](N)C(=O)O)c(Cc2ccccc2)[nH]1
(2S)-2-amino-3-(6-benzyl-2-imino-1H-purin-9-yl)propanoic acid									AFC001793	N=c1nc2c(ncn2C[C@H](N)C(=O)O)c(Cc2ccccc2)[nH]1
(2S,3R)-2,3-bis[(4-hydroxy-3-methoxyphenyl)(¹³C)methyl](1-¹³C)butane-1,4-diol					AFC000436 and AFC001034				AFC001794	COc1cc([13CH2][C@@H]([13CH2]O)[C@H](CO)[13CH2]c2ccc(O)c(OC)c2)ccc1O
(2S,3R)-2,3-bis[(4-hydroxy-3-methoxyphenyl)(¹³C)methyl](1-¹³C)butane-1,4-diol					AFC000436 and AFC001034				AFC001795	COc1cc([13CH2][C@@H]([13CH2]O)[C@H](CO)[13CH2]c2ccc(O)c(OC)c2)ccc1O
3-hydroxy-1-(4-hydroxy-3-methoxyphenyl)propan-1-one	beta-hydroxypropiovanillone	2196-18-1	no entry found	no entry found	75142	no entry found	no entry found	no entry found	AFC001796	COc1cc(C(=O)CCO)ccc1O
3-hydroxy-1-(4-hydroxyphenyl)propan-1-one	3,4'-dihydroxypropiophenone	53170-93-7	no entry found	HMDB0040645	638759	no entry found	FDB020438	no entry found	AFC001797	O=C(CCO)c1ccc(O)cc1
(2R,3R,4S,5R,6S)-2-(hydroxymethyl)-6-[4-(hydroxymethyl)phenoxy]oxane-3,4,5-triol	2-(hydroxymethyl)-6-[4-(hydroxymethyl)phenoxy]oxane-3,4,5-triol		no entry found	no entry found	3645183	no entry found	no entry found	no entry found	AFC001798	OCc1ccc(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)cc1
(2R,3R,4S,5R,6R)-2-(hydroxymethyl)-6-[(4-hydroxyphenyl)methoxy]oxane-3,4,5-triol			no entry found	no entry found	49871128	no entry found	no entry found	no entry found	AFC001799	OC[C@H]1O[C@@H](OCc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@H]1O
(2R,3R,4S,5R,6R)-2-(benzyloxy)-6-(hydroxymethyl)oxane-3,4,5-triol	2-(hydroxymethyl)-6-phenylmethoxyoxane-3,4,5-triol	15548-45-5	no entry found	no entry found	4984739	no entry found	no entry found	no entry found	AFC001800	OC[C@H]1O[C@@H](OCc2ccccc2)[C@H](O)[C@@H](O)[C@H]1O
(3E,6S)-6-[(1R,2R,3aS,3bS,4R,9aR,9bS,11aR)-2,4-dihydroxy-3a,6,6,9b,11a-pentamethyl-7,10-dioxo-8-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-1H,2H,3H,3bH,4H,9aH,11H-cyclopenta[a]phenanthren-1-yl]-6-hydroxy-2-methyl-5-oxohept-3-en-2-yl acetate									AFC001801	CC(=O)OC(C)(C)/C=C/C(=O)[C@@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3[C@H](O)C=C4[C@@H](C=C(O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C
(1S,2S,4R,6S,8S,9R,10R,13R,14R)-16-{[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-{[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy}oxan-2-yl]oxy}-8-hydroxy-6-[(1E)-3-hydroxy-2-methylprop-1-en-1-yl]-2,8,10,13,18,18-hexamethyl-5-oxapentacyclo[11.8.0.0²,¹⁰.0⁴,⁹.0¹⁴,¹⁹]henicosa-15,19-diene-12,17-dione									AFC001802	C/C(=C\[C@@H]1C[C@](C)(O)[C@H]2[C@@H](C[C@@]3(C)[C@@H]4CC=C5[C@@H](C=C(O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O[C@@H]6O[C@@H](C)[C@H](O)[C@@H](O)[C@H]6O)C(=O)C5(C)C)[C@]4(C)C(=O)C[C@]23C)O1)CO
